name,url,type_food,location,rating
Wolfnights - The Gourmet Wrap,https://www.yelp.com/adredir?ad_business_id=kBIbwJ0hTzSqZ9Crv5e6FQ&campaign_id=Tg8E_1SHN-yNeemsBtMvWA&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fwolfnights-the-gourmet-wrap-new-york-10&request_id=e57931369c3fc8a8&signature=165f5f4dcb9a03bb4c6772578094b51b434351540ef7c7cbf5add98aca0738dd&slot=0,"Halal, New American, Mediterranean",,4.1
Meduza Mediterrania - New York,https://www.yelp.com/adredir?ad_business_id=H-GCfdIpY8qdoKwQ9C69hw&campaign_id=6b26n9CXSll-qExU1QUltQ&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmeduza-mediterrania-new-york-new-york-2&request_id=e57931369c3fc8a8&signature=6320fedfd2aa86a701bdfc8dcf1b0ee06638d9d06b3c9e09fc999cf27af21357&slot=1,Mediterranean,,3.8
Au Za’atar,https://www.yelp.com/biz/au-zaatar-new-york?osq=Best+Halal+Restaurant,"Wine Bars, Lebanese, Mediterranean",East Village,4.2
Top Thai Vintage,https://www.yelp.com/biz/top-thai-vintage-new-york-3?osq=Best+Halal+Restaurant,"Thai, Halal, Cocktail Bars",West Village,4.5
Ariana Afghan Kebab Restaurant,https://www.yelp.com/biz/ariana-afghan-kebab-restaurant-new-york?osq=Best+Halal+Restaurant,"Afghan, Halal, Kebab",Hell's Kitchen,4.2
The Munchies,https://www.yelp.com/biz/the-munchies-new-york-2?osq=Best+Halal+Restaurant,"Chicken Wings, Halal, Sandwiches",,4.4
The Halal Guys,https://www.yelp.com/biz/the-halal-guys-new-york-2?osq=Best+Halal+Restaurant,"Food Stands, Middle Eastern, Halal",Theater District,4.2
Baar Baar,https://www.yelp.com/biz/baar-baar-new-york-2?osq=Best+Halal+Restaurant,"Gastropubs, Indian, Cocktail Bars",East Village,3.9
Fogo de Chão Brazilian Steakhouse,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-elmhurst-6?osq=Best+Halal+Restaurant,"Brazilian, Seafood, Steakhouses",Elmhurst,4.1
Adobo Mexican Grill,https://www.yelp.com/biz/adobo-mexican-grill-brooklyn?osq=Best+Halal+Restaurant,"Tacos, Halal",,
Paratha Wala,https://www.yelp.com/biz/paratha-wala-forest-hills-2?osq=Best+Halal+Restaurant,"Indian, Halal, Bangladeshi",Forest Hills,4.6
Dar 525,https://www.yelp.com/biz/dar-525-brooklyn?osq=Best+Halal+Restaurant,"Mediterranean, Middle Eastern, Kebab",Williamsburg - North Side,4.3
Panera Bread,https://www.yelp.com/adredir?ad_business_id=YTolZPHDAfNXlyMpQzRzWg&campaign_id=oZE8KbQGTMYaLqmqX4oJ8w&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fpanera-bread-new-york-21&request_id=e57931369c3fc8a8&signature=05e7bb86fbf4204b1551ff1bdd4ca0a4fdfec11cb64ef30b7b192f99fba4affc&slot=0,Sandwiches,,
Hen House Nyc,https://www.yelp.com/adredir?ad_business_id=gHACeRXEx6m-OW79ZxEWRA&campaign_id=FPkSGoomGIzMoOMU8_L49Q&click_origin=search_results&placement=vertical_0&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fhen-house-nyc-new-york&request_id=b3b8edd8fcd5b87a&signature=93ef09a9e4961f4529911201b57b1a5a8b5992008eae6d16b217a7070ada158c&slot=1,"Food Stands, Lebanese, Sandwiches",,4.2
Dave’s Hot Chicken,https://www.yelp.com/biz/daves-hot-chicken-new-york-2?osq=Best+Halal+Restaurant,"Chicken Shop, Halal",Midtown West,4.3
Istanbul Kebab House,https://www.yelp.com/biz/istanbul-kebab-house-new-york?osq=Best+Halal+Restaurant,"Turkish, Halal, Mediterranean",Hell's Kitchen,4.1
Rowdy Rooster,https://www.yelp.com/biz/rowdy-rooster-new-york?osq=Best+Halal+Restaurant,"Indian, Chicken Shop",East Village,4.3
Meat Me BBQ,https://www.yelp.com/biz/meat-me-bbq-flushing?osq=Best+Halal+Restaurant,"Barbeque, Korean",Downtown Flushing,4.4
Yara,https://www.yelp.com/biz/yara-new-york-2?osq=Best+Halal+Restaurant,"Lebanese, Mediterranean, Cocktail Bars",Midtown East,4.2
Little Morocco,https://www.yelp.com/biz/little-morocco-new-york-2?osq=Best+Halal+Restaurant,Moroccan,Astoria,4.1
The Broski Grill,https://www.yelp.com/biz/the-broski-grill-new-york?osq=Best+Halal+Restaurant,"Halal, Burgers",,4.8
ilili Restaurant,https://www.yelp.com/biz/ilili-restaurant-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Lebanese, Cocktail Bars",Flatiron,4.1
GOSHT,https://www.yelp.com/biz/gosht-brooklyn-4?osq=Best+Halal+Restaurant,"Steakhouses, Halal, Burgers",,3.8
Sami’s Kabab House,https://www.yelp.com/biz/samis-kabab-house-long-island-city-2?osq=Best+Halal+Restaurant,"Afghan, Halal, Tapas/Small Plates",Hunters Point,4.6
Shoo Shoo Nolita,https://www.yelp.com/adredir?ad_business_id=1hdwhb6kzLxL3Lt3PxoHKA&campaign_id=MA_VvWAC-nK5EAx9K2F7HQ&click_origin=search_results&placement=below_search&placement_slot=2&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fshoo-shoo-nolita-new-york&request_id=b3b8edd8fcd5b87a&signature=30235e45a9b067912fc8b8bebb5b2d76d4681c39090b6221dde8e5d65b3e3701&slot=0,Mediterranean,,4.1
The Drunken Munkey - UES,https://www.yelp.com/biz/the-drunken-munkey-ues-new-york?osq=Best+Halal+Restaurant,"Indian, Cocktail Bars",Yorkville,4.3
Moustache,https://www.yelp.com/biz/moustache-new-york-9?osq=Best+Halal+Restaurant,"Middle Eastern, Pizza, Sandwiches",West Village,4.1
Omar’s Mediterranean East Midtown,https://www.yelp.com/biz/omars-mediterranean-east-midtown-new-york?osq=Best+Halal+Restaurant,"Middle Eastern, Mediterranean, Salad",Midtown East,4.4
Zou Zou’s,https://www.yelp.com/biz/zou-zou-s-new-york-3?osq=Best+Halal+Restaurant,"Mediterranean, Cocktail Bars, New American",Chelsea,4.2
Shukette,https://www.yelp.com/biz/shukette-new-york?osq=Best+Halal+Restaurant,Middle Eastern,Chelsea,4.4
Tamarind,https://www.yelp.com/biz/tamarind-new-york-4?osq=Best+Halal+Restaurant,Indian,TriBeCa,3.9
Halal Garden Chinese Kitchen,https://www.yelp.com/biz/halal-garden-chinese-kitchen-brooklyn?osq=Best+Halal+Restaurant,"Halal, Chinese, Bubble Tea",,
Salma,https://www.yelp.com/biz/salma-new-york?osq=Best+Halal+Restaurant,"Lebanese, Breakfast & Brunch, Sandwiches",East Village,4.6
8-Bit Bites,https://www.yelp.com/biz/8-bit-bites-brooklyn-3?osq=Best+Halal+Restaurant,"Halal, Burgers, Sandwiches",,
